t1      ,ch1     ,t2      ,ch2     
   5.718,    0.005,    5.718,   -0.006
   5.734,    0.008,    5.734,   -0.005
   5.751,    0.006,    5.751,   -0.006
   5.767,    0.011,    5.767,   -0.005
   5.784,    0.011,    5.784,   -0.005
   5.800,    0.008,    5.800,   -0.006
   5.816,    0.010,    5.816,   -0.005
   5.833,    0.008,    5.833,   -0.006
   5.849,    0.009,    5.849,   -0.005
   5.865,    0.014,    5.865,   -0.004
   5.882,    0.010,    5.882,   -0.005
   5.898,    0.007,    5.898,   -0.007
   5.915,    0.007,    5.915,   -0.006
   5.931,    0.011,    5.931,   -0.004
   5.947,    0.009,    5.947,   -0.006
   5.964,    0.007,    5.964,   -0.006
   5.980,    0.013,    5.980,   -0.004
   5.997,    0.007,    5.997,   -0.006
   6.013,    0.013,    6.013,   -0.005
   6.029,    0.013,    6.029,   -0.004
   6.046,    0.014,    6.046,   -0.004
   6.062,    0.009,    6.062,   -0.005
   6.079,    0.009,    6.079,   -0.005
   6.095,    0.011,    6.095,   -0.005
   6.111,    0.010,    6.111,   -0.005
   6.128,    0.012,    6.128,   -0.005
   6.144,    0.010,    6.144,   -0.005
   6.160,    0.007,    6.160,   -0.005
   6.177,    0.008,    6.177,   -0.006
   6.193,    0.011,    6.193,   -0.005
   6.210,    0.013,    6.210,   -0.004
   6.226,    0.009,    6.226,   -0.005
   6.242,    0.011,    6.242,   -0.005
   6.259,    0.008,    6.259,   -0.005
   6.275,    0.005,    6.275,   -0.006
   6.292,    0.007,    6.292,   -0.006
   6.308,    0.015,    6.308,   -0.003
   6.324,    0.009,    6.324,   -0.005
   6.341,    0.013,    6.341,   -0.004
   6.357,    0.008,    6.357,   -0.006
   6.373,    0.008,    6.373,   -0.006
   6.390,    0.012,    6.390,   -0.005
   6.406,    0.009,    6.406,   -0.006
   6.423,    0.008,    6.423,   -0.006
   6.439,    0.011,    6.439,   -0.005
   6.455,    0.014,    6.455,   -0.004
   6.472,    0.009,    6.472,   -0.005
   6.488,    0.012,    6.488,   -0.005
   6.504,    0.011,    6.504,   -0.004
   6.521,    0.008,    6.521,   -0.006
   6.537,    0.008,    6.537,   -0.006
   6.554,    0.005,    6.554,   -0.006
   6.570,    0.011,    6.570,   -0.005
   6.586,    0.008,    6.586,   -0.006
   6.603,    0.008,    6.603,   -0.005
   6.619,    0.008,    6.619,   -0.006
   6.636,    0.007,    6.636,   -0.006
   6.652,    0.014,    6.652,   -0.004
   6.668,    0.009,    6.668,   -0.006
   6.685,    0.009,    6.685,   -0.005
   6.701,    0.010,    6.701,   -0.005
   6.717,    0.010,    6.717,   -0.005
   6.734,    0.013,    6.734,   -0.005
   6.750,    0.010,    6.750,   -0.005
   6.767,    0.009,    6.767,   -0.006
   6.783,    0.007,    6.783,   -0.006
   6.799,    0.008,    6.799,   -0.005
   6.816,    0.011,    6.816,   -0.005
   6.832,    0.013,    6.832,   -0.004
   6.848,    0.009,    6.848,   -0.005
   6.865,    0.009,    6.865,   -0.006
   6.881,    0.007,    6.881,   -0.006
   6.898,    0.010,    6.898,   -0.005
   6.914,    0.007,    6.914,   -0.006
   6.930,    0.012,    6.930,   -0.005
   6.947,    0.013,    6.947,   -0.005
   6.963,    0.010,    6.963,   -0.006
   6.980,    0.013,    6.980,   -0.004
   6.996,    0.009,    6.996,   -0.005
   7.012,    0.010,    7.012,   -0.006
   7.029,    0.009,    7.029,   -0.006
   7.045,    0.010,    7.045,   -0.006
   7.061,    0.009,    7.061,   -0.005
   7.078,    0.010,    7.078,   -0.005
   7.094,    0.010,    7.094,   -0.005
   7.111,    0.008,    7.111,   -0.006
   7.127,    0.015,    7.127,   -0.004
   7.143,    0.011,    7.143,   -0.005
   7.160,    0.011,    7.160,   -0.005
   7.176,    0.010,    7.176,   -0.005
   7.193,    0.010,    7.193,   -0.005
   7.209,    0.011,    7.209,   -0.005
   7.225,    0.009,    7.225,   -0.005
   7.242,    0.011,    7.242,   -0.005
   7.258,    0.013,    7.258,   -0.004
   7.274,    0.005,    7.274,   -0.006
   7.291,    0.012,    7.291,   -0.005
   7.307,    0.008,    7.307,   -0.006
   7.324,    0.011,    7.324,   -0.005
   7.340,    0.012,    7.340,   -0.005
   7.356,    0.012,    7.356,   -0.005
   7.373,    0.005,    7.373,   -0.007
   7.389,    0.007,    7.389,   -0.006
   7.406,    0.007,    7.406,   -0.006
   7.422,    0.008,    7.422,   -0.005
   7.438,    0.013,    7.438,   -0.005
   7.455,    0.014,    7.455,   -0.004
   7.471,    0.011,    7.471,   -0.005
   7.487,    0.009,    7.487,   -0.006
   7.504,    0.007,    7.504,   -0.006
   7.520,    0.010,    7.520,   -0.005
   7.537,    0.014,    7.537,   -0.004
   7.553,    0.006,    7.553,   -0.006
   7.569,    0.010,    7.569,   -0.005
   7.586,    0.012,    7.586,   -0.004
   7.602,    0.008,    7.602,   -0.006
   7.619,    0.008,    7.619,   -0.006
   7.635,    0.009,    7.635,   -0.006
   7.651,    0.009,    7.651,   -0.005
   7.668,    0.008,    7.668,   -0.005
   7.684,    0.009,    7.684,   -0.005
   7.700,    0.005,    7.700,   -0.006
   7.717,    0.010,    7.717,   -0.005
   7.733,    0.007,    7.733,   -0.006
   7.750,    0.009,    7.750,   -0.005
   7.766,    0.012,    7.766,   -0.004
   7.782,    0.008,    7.782,   -0.006
   7.799,    0.011,    7.799,   -0.005
   7.815,    0.010,    7.815,   -0.005
   7.832,    0.011,    7.832,   -0.005
   7.848,    0.007,    7.848,   -0.005
   7.864,    0.011,    7.864,   -0.005
   7.881,    0.008,    7.881,   -0.006
   7.897,    0.010,    7.897,   -0.005
   7.913,    0.008,    7.913,   -0.006
   7.930,    0.010,    7.930,   -0.005
   7.946,    0.011,    7.946,   -0.004
   7.963,    0.013,    7.963,   -0.005
   7.979,    0.010,    7.979,   -0.005
   7.995,    0.011,    7.995,   -0.005
   8.012,    0.010,    8.012,   -0.006
   8.028,    0.010,    8.028,   -0.006
   8.044,    0.010,    8.044,   -0.005
   8.061,    0.012,    8.061,   -0.005
   8.077,    0.008,    8.077,   -0.006
   8.094,    0.009,    8.094,   -0.005
   8.110,    0.007,    8.110,   -0.006
   8.127,    0.010,    8.127,   -0.005
   8.143,    0.005,    8.143,   -0.006
